1 NONTERMINAL NP+ADVP
254 NONTERMINAL VP+VERB
65 NONTERMINAL SBAR
81 NONTERMINAL ADJP
30 NONTERMINAL WHADVP
1808 NONTERMINAL DET
1 NONTERMINAL S+VP+VERB
2 NONTERMINAL NP+VERB
817 NONTERMINAL WHNP+PRON
2 NONTERMINAL NP+S
11 NONTERMINAL SBAR+S
3 NONTERMINAL NP+X
3 NONTERMINAL NP+NP
17 NONTERMINAL X
251 NONTERMINAL SQ+VP
68 NONTERMINAL CONJ
114 NONTERMINAL NP+PRON
301 NONTERMINAL WHADVP+ADV
1 NONTERMINAL PP+NOUN
1024 NONTERMINAL PP
3852 NONTERMINAL NOUN
4 NONTERMINAL NP+ADJ
27 NONTERMINAL PRT+PRT
24 NONTERMINAL WHPP
1 NONTERMINAL WHNP+WHNP
14 NONTERMINAL ADVP
2032 NONTERMINAL .
1 NONTERMINAL NX
280 NONTERMINAL PRT
103 NONTERMINAL NUM
50 NONTERMINAL NP+NUM
4813 NONTERMINAL NP
1 NONTERMINAL NP+SBAR+S
25 NONTERMINAL NP+DET
244 NONTERMINAL ADV
16 NONTERMINAL VP+NOUN
19 NONTERMINAL ADJP+ADJ
1010 NONTERMINAL ADP
1 NONTERMINAL NP+PP
1 NONTERMINAL PP+PP+ADP
803 NONTERMINAL VP
6 NONTERMINAL PP+PRT
3405 NONTERMINAL SBARQ
2349 NONTERMINAL VERB
1 NONTERMINAL NP+S+VP
1 NONTERMINAL SBAR+VP
656 NONTERMINAL NP+NOUN
2 NONTERMINAL NP+QP
916 NONTERMINAL ADJ
23 NONTERMINAL WHNP+DET
10 NONTERMINAL SBAR+S+VP
7 NONTERMINAL QP
2081 NONTERMINAL SQ
38 NONTERMINAL ADVP+ADV
85 NONTERMINAL S
124 NONTERMINAL WHADJP
569 NONTERMINAL WHNP
73 NONTERMINAL PRON
90 NONTERMINAL S+VP
1 NONTERMINAL VP+S+VP
2 NONTERMINAL ADVP+ADJ
113 NONTERMINAL PP+ADP
158 UNARYRULE VP+VERB _RARE_
6 UNARYRULE NOUN North
1 UNARYRULE PP+NOUN _RARE_
11 UNARYRULE NOUN River
110 UNARYRULE PRT to
5 UNARYRULE ADP about
13 UNARYRULE NOUN New
10 UNARYRULE ADJ fast
7 UNARYRULE PRT+PRT up
8 UNARYRULE NOUN car
13 UNARYRULE NOUN President
78 UNARYRULE VERB do
33 UNARYRULE ADVP+ADV _RARE_
22 UNARYRULE . .
5 UNARYRULE NP+NOUN Earth
12 UNARYRULE NOUN War
7 UNARYRULE NOUN countries
5 UNARYRULE NOUN eye
10 UNARYRULE NOUN kind
6 UNARYRULE ADJ high
5 UNARYRULE NOUN years
7 UNARYRULE NOUN date
6 UNARYRULE NOUN currency
5 UNARYRULE NOUN William
13 UNARYRULE NOUN fear
5 UNARYRULE NOUN difference
14 UNARYRULE PRON _RARE_
20 UNARYRULE VERB were
11 UNARYRULE VERB make
550 UNARYRULE ADJ _RARE_
8 UNARYRULE NOUN King
21 UNARYRULE VP+VERB die
7 UNARYRULE NOUN point
6 UNARYRULE ADP into
2 UNARYRULE WHNP+PRON _RARE_
7 UNARYRULE ADJ only
16 UNARYRULE VP+NOUN mean
35 UNARYRULE DET The
8 UNARYRULE NOUN moon
5 UNARYRULE ADP before
8 UNARYRULE NOUN movie
13 UNARYRULE PP+ADP from
6 UNARYRULE PP+PRT to
21 UNARYRULE NP+DET there
5 UNARYRULE NUM one
5 UNARYRULE NOUN team
15 UNARYRULE NOUN president
5 UNARYRULE VERB wrote
5 UNARYRULE NOUN birthstone
7 UNARYRULE VP+VERB have
505 UNARYRULE VERB _RARE_
5 UNARYRULE VERB causes
8 UNARYRULE NOUN day
5 UNARYRULE . :
1 UNARYRULE PRT _RARE_
5 UNARYRULE NOUN Johnson
43 UNARYRULE NOUN U.S.
6 UNARYRULE ADP after
23 UNARYRULE VP+VERB born
5 UNARYRULE ADJ female
15 UNARYRULE NOUN States
16 UNARYRULE VERB known
10 UNARYRULE VERB say
10 UNARYRULE VERB play
10 UNARYRULE VERB become
16 UNARYRULE ADJ largest
5 UNARYRULE NOUN party
5 UNARYRULE PP+ADP into
5 UNARYRULE PRON her
5 UNARYRULE NOUN South
5 UNARYRULE ADJ fastest
5 UNARYRULE NOUN song
12 UNARYRULE WHADVP+ADV when
19 UNARYRULE ADJP+ADJ _RARE_
8 UNARYRULE VP+VERB invented
5 UNARYRULE WHNP+PRON what
17 UNARYRULE WHADVP+ADV Why
15 UNARYRULE NOUN game
8 UNARYRULE PRON their
13 UNARYRULE PRT <
6 UNARYRULE NOUN bird
7 UNARYRULE NOUN State
7 UNARYRULE ADJ average
9 UNARYRULE NOUN number
667 UNARYRULE VERB is
5 UNARYRULE WHNP+DET _RARE_
19 UNARYRULE VERB get
5 UNARYRULE NOUN ball
6 UNARYRULE ADJ Spanish
5 UNARYRULE ADJ tallest
9 UNARYRULE PRT+PRT out
7 UNARYRULE NOUN actor
5 UNARYRULE NP+PRON he
5 UNARYRULE PRON What
31 UNARYRULE VERB <s
272 UNARYRULE ADP in
6 UNARYRULE NOUN system
6 UNARYRULE NP+PRON they
5 UNARYRULE NOUN water
47 UNARYRULE NP+PRON you
7 UNARYRULE VP+VERB built
10 UNARYRULE NOUN Day
156 UNARYRULE PRT <s
62 UNARYRULE ADJ first
7 UNARYRULE VP+VERB mean
41 UNARYRULE NOUN country
5 UNARYRULE ADJ South
5 UNARYRULE ADV long
1 UNARYRULE S+VP+VERB _RARE_
5 UNARYRULE ADP out
5 UNARYRULE VERB given
14 UNARYRULE PP+ADP _RARE_
21 UNARYRULE ADV most
5 UNARYRULE NOUN percentage
15 UNARYRULE PRON his
32 UNARYRULE NOUN world
2 UNARYRULE ADVP+ADJ _RARE_
3 UNARYRULE NP+X _RARE_
5 UNARYRULE NOUN college
10 UNARYRULE VERB call
19 UNARYRULE VERB find
8 UNARYRULE VERB being
13 UNARYRULE DET what
2 UNARYRULE NP+VERB _RARE_
10 UNARYRULE ADJ old
10 UNARYRULE NOUN University
4 UNARYRULE NP+DET _RARE_
89 UNARYRULE NOUN name
69 UNARYRULE ADJ many
6 UNARYRULE NOUN school
38 UNARYRULE VERB has
6 UNARYRULE NOUN America
5 UNARYRULE VERB had
7 UNARYRULE ADJ British
8 UNARYRULE NOUN woman
5 UNARYRULE NOUN battle
14 UNARYRULE ADJ most
12 UNARYRULE ADV far
8 UNARYRULE ADJ tall
18 UNARYRULE VP+VERB called
35 UNARYRULE VERB can
38 UNARYRULE ADP from
380 UNARYRULE ADP of
15 UNARYRULE NP+PRON it
11 UNARYRULE VERB makes
9 UNARYRULE ADJ best
8 UNARYRULE NOUN book
40 UNARYRULE PP+ADP in
14 UNARYRULE PRON its
1695 UNARYRULE . ?
5 UNARYRULE NOUN group
9 UNARYRULE NOUN person
118 UNARYRULE . <<
17 UNARYRULE VERB Name
6 UNARYRULE NOUN Washington
14 UNARYRULE ADJ much
6 UNARYRULE ADJ top
5 UNARYRULE NOUN Mississippi
11 UNARYRULE NOUN origin
50 UNARYRULE NOUN city
2 UNARYRULE CONJ _RARE_
126 UNARYRULE VERB are
5 UNARYRULE NOUN house
5 UNARYRULE ADJ European
5 UNARYRULE NP+NOUN place
6 UNARYRULE NUM four
15 UNARYRULE ADP with
17 UNARYRULE X _RARE_
5 UNARYRULE NOUN address
64 UNARYRULE . ,
5 UNARYRULE NOUN World
1 UNARYRULE PP+PP+ADP _RARE_
4 UNARYRULE NP+ADJ _RARE_
8 UNARYRULE NOUN names
9 UNARYRULE NP+NOUN water
108 UNARYRULE WHADVP+ADV When
151 UNARYRULE WHNP+PRON Who
9 UNARYRULE NOUN film
154 UNARYRULE VERB did
5 UNARYRULE ADJ longest
5 UNARYRULE NOUN show
24 UNARYRULE PP+ADP for
5 UNARYRULE NOUN star
20 UNARYRULE ADP by
78 UNARYRULE ADP for
8 UNARYRULE NOUN colors
90 UNARYRULE WHADVP+ADV Where
9 UNARYRULE NOUN John
7 UNARYRULE NOUN dog
5 UNARYRULE ADJ black
33 UNARYRULE NP+PRON I
5 UNARYRULE NOUN rate
6 UNARYRULE NOUN Kennedy
60 UNARYRULE CONJ and
5 UNARYRULE NOUN life
10 UNARYRULE NOUN baseball
612 UNARYRULE NP+NOUN _RARE_
8 UNARYRULE NP+PRON _RARE_
5 UNARYRULE NOUN leader
6 UNARYRULE NOUN money
118 UNARYRULE . ``
198 UNARYRULE DET a
5 UNARYRULE NP+NOUN Mars
29 UNARYRULE NOUN state
6 UNARYRULE CONJ or
5 UNARYRULE PRON my
6 UNARYRULE NOUN governor
48 UNARYRULE ADV _RARE_
6 UNARYRULE NOUN Tower
10 UNARYRULE NOUN nickname
16 UNARYRULE NUM two
8 UNARYRULE ADP that
4 UNARYRULE WHADVP+ADV _RARE_
11 UNARYRULE PRT+PRT _RARE_
17 UNARYRULE NOUN population
20 UNARYRULE VERB stand
8 UNARYRULE NOUN US
30 UNARYRULE DET an
11 UNARYRULE NOUN company
11 UNARYRULE NOUN sun
108 UNARYRULE VERB does
7 UNARYRULE NOUN river
5 UNARYRULE NOUN American
5 UNARYRULE VERB killed
11 UNARYRULE VERB invented
149 UNARYRULE ADV How
5 UNARYRULE VERB should
11 UNARYRULE NOUN capital
2791 UNARYRULE NOUN _RARE_
7 UNARYRULE ADJ oldest
9 UNARYRULE ADJ real
9 UNARYRULE NP+NOUN people
12 UNARYRULE VERB be
6 UNARYRULE WHNP+PRON who
7 UNARYRULE DET which
7 UNARYRULE VERB died
11 UNARYRULE NOUN body
1 BINARYRULE VP VERB SBAR+VP
4 BINARYRULE VP VERB NP+PRON
1 BINARYRULE SBAR+S+VP PRT VP+VERB
63 BINARYRULE SQ VERB VP
1 BINARYRULE SQ ADVP+ADV VP+VERB
1 BINARYRULE VP PP WHPP
1 BINARYRULE NP VERB NP+NOUN
1 BINARYRULE SBARQ SBARQ .
7 BINARYRULE ADJP DET ADJ
1436 BINARYRULE SBARQ SQ .
21 BINARYRULE NP CONJ NOUN
165 BINARYRULE NP NOUN PRT
12 BINARYRULE S+VP VERB NP
41 BINARYRULE NP NOUN PP
30 BINARYRULE PP PRT NP
77 BINARYRULE VP VERB PP+ADP
71 BINARYRULE SQ VERB NP+NOUN
506 BINARYRULE NP NP PP
2 BINARYRULE SQ PP PP
141 BINARYRULE VP VERB PP
4 BINARYRULE S . .
2 BINARYRULE PP PRT NP+NUM
1 BINARYRULE SQ NP+ADJ SQ
1 BINARYRULE VP NP ADJP+ADJ
2 BINARYRULE ADJP CONJ ADJ
1 BINARYRULE VP NP+NOUN PRT+PRT
26 BINARYRULE SBARQ WHADVP SBARQ
1 BINARYRULE PP ADP NP+QP
601 BINARYRULE PP ADP NP
3 BINARYRULE SQ+VP VERB SBAR+S
2 BINARYRULE VP VERB WHNP
42 BINARYRULE SBARQ WHADJP SBARQ
3 BINARYRULE WHNP PRON NP
20 BINARYRULE WHADVP ADV ADV
1 BINARYRULE VP NP VP+VERB
6 BINARYRULE VP PRT+PRT VP
1 BINARYRULE PP NP+NUM PP
1 BINARYRULE ADJP NUM NOUN
1 BINARYRULE SQ NP+NOUN VP+NOUN
1 BINARYRULE PP PRT NP+DET
14 BINARYRULE VP VERB VP+VERB
1 BINARYRULE SQ NP+S VP
1 BINARYRULE NP NOUN PP+ADP
1 BINARYRULE VP VERB NP+SBAR+S
7 BINARYRULE S NP+PRON VP+VERB
1 BINARYRULE SQ NP+NP VP+VERB
1 BINARYRULE NP NOUN ADVP+ADV
477 BINARYRULE NP ADJ NOUN
1 BINARYRULE SQ ADJP+ADJ PP
4 BINARYRULE VP PRT VP+VERB
1 BINARYRULE VP NP+NUM PP
1 BINARYRULE SBAR+S NP VP+VERB
1 BINARYRULE VP VERB .
21 BINARYRULE WHPP ADP WHNP
1 BINARYRULE SQ VP SBAR
8 BINARYRULE SQ VERB NP+DET
1 BINARYRULE VP NOUN PP+ADP
5 BINARYRULE NP NP PP+ADP
1 BINARYRULE NP+NP . NP
1 BINARYRULE NP CONJ NP+NUM
2 BINARYRULE VP PP NP
13 BINARYRULE SQ NP VP+NOUN
11 BINARYRULE S+VP VERB PP
2 BINARYRULE VP ADVP+ADV PP
1 BINARYRULE VP VERB WHADJP
1 BINARYRULE VP NP SBAR
2 BINARYRULE SQ+VP ADVP+ADV VP
4 BINARYRULE SQ VP PP
1 BINARYRULE VP PRT+PRT WHPP
2 BINARYRULE VP PP+ADP PP
7 BINARYRULE SBARQ WHNP SQ
3 BINARYRULE VP PRT+PRT PP
1 BINARYRULE SBAR WHPP S
4 BINARYRULE WHNP ADV ADV
3 BINARYRULE S+VP . VP
3 BINARYRULE NP VERB NP
118 BINARYRULE WHADJP ADV ADJ
22 BINARYRULE SQ+VP VERB PP
75 BINARYRULE SQ NP+PRON VP
1 BINARYRULE SBAR WHNP+DET S+VP+VERB
2 BINARYRULE S+VP VERB S
31 BINARYRULE NP NP+NOUN PP
653 BINARYRULE SQ VERB NP
25 BINARYRULE NP CONJ NP
2 BINARYRULE QP ADV NUM
1 BINARYRULE ADJP ADJ PRT+PRT
3 BINARYRULE NP . PRON
1 BINARYRULE ADVP ADV NP
35 BINARYRULE S+VP PRT VP
2 BINARYRULE ADJP ADJ NOUN
1 BINARYRULE S+VP VERB ADVP+ADV
5 BINARYRULE SQ NP SQ
3 BINARYRULE VP NP+NOUN S+VP
14 BINARYRULE NP PRON NP
1 BINARYRULE NX NOUN NOUN
10 BINARYRULE NP NP SBAR+S+VP
1 BINARYRULE SBARQ WHNP+WHNP SBARQ
1 BINARYRULE VP PRT+PRT SBARQ
1 BINARYRULE SQ NP+NOUN ADJP
1 BINARYRULE ADJP ADJ VP
1 BINARYRULE VP NP+PRON ADJP+ADJ
4 BINARYRULE PP ADP NOUN
2 BINARYRULE VP ADV VERB
1 BINARYRULE SQ+VP VERB S
4 BINARYRULE WHNP ADJ NOUN
2 BINARYRULE SQ NP+NOUN NP
2 BINARYRULE PP ADP SBAR
1 BINARYRULE VP NOUN NP+NOUN
1 BINARYRULE VP NOUN PP
3 BINARYRULE SBARQ SBAR SBARQ
2 BINARYRULE SQ NP ADJP
14 BINARYRULE PP ADP S+VP
1 BINARYRULE ADVP ADV .
1 BINARYRULE SQ ADJP SBAR
1 BINARYRULE VP NP+NP PP
1 BINARYRULE NP NP+NUM NP
770 BINARYRULE NP NOUN NOUN
1 BINARYRULE SBAR+S NP+PRON VP+VERB
8 BINARYRULE VP VERB PRT+PRT
1 BINARYRULE S+VP VP VP
3 BINARYRULE VP PRT+PRT NP
1 BINARYRULE NP X NOUN
18 BINARYRULE VP NP VP
1 BINARYRULE SBAR WHNP S
2 BINARYRULE VP S PP
21 BINARYRULE NP NP VP
1 BINARYRULE VP NP+NOUN VP
3 BINARYRULE VP CONJ VP
2 BINARYRULE NP . ADJP+ADJ
20 BINARYRULE VP PP PP
1 BINARYRULE S+VP VERB ADJP
4 BINARYRULE ADVP ADV ADV
2 BINARYRULE NP . NUM
1 BINARYRULE NP ADJP .
1 BINARYRULE NP . PP
3 BINARYRULE SQ NP+PRON PP
4 BINARYRULE NP NP NP+NOUN
3 BINARYRULE VP VERB PP+PRT
25 BINARYRULE S VP .
1 BINARYRULE VP NP+NOUN SBAR
3 BINARYRULE VP NP PP+ADP
3 BINARYRULE VP VERB ADVP+ADV
11 BINARYRULE S+VP VERB VP
1 BINARYRULE VP NP+NOUN VP+VERB
1 BINARYRULE SQ . PP
10 BINARYRULE ADJP ADJ PP
1 BINARYRULE WHNP NOUN ADJ
1 BINARYRULE S PP S
11 BINARYRULE NP NP S+VP
1 BINARYRULE PP ADV ADP
1 BINARYRULE ADJP ADJ .
1 BINARYRULE ADJP NOUN ADJP
1 BINARYRULE SQ+VP VP PP
1 BINARYRULE VP VP PP
7 BINARYRULE SBARQ . SBARQ
11 BINARYRULE PP PP PP
10 BINARYRULE SBAR WHADVP+ADV S
766 BINARYRULE NP DET NP
85 BINARYRULE NP NP NOUN
1 BINARYRULE ADJP NOUN ADJ
2 BINARYRULE SBARQ SQ SBARQ
79 BINARYRULE SQ+VP VERB VP
2 BINARYRULE SBARQ SBARQ SBARQ
1 BINARYRULE SQ VERB S+VP
3 BINARYRULE VP ADV VP
2 BINARYRULE SQ NP VERB
26 BINARYRULE NP ADJP NOUN
1 BINARYRULE ADJP NUM ADJ
3 BINARYRULE NP NP+DET PP
17 BINARYRULE SBAR WHNP+DET S+VP
808 BINARYRULE SBARQ WHNP+PRON SBARQ
1 BINARYRULE S NP+NUM VP
1 BINARYRULE WHPP PRT WHNP+DET
505 BINARYRULE SBARQ WHNP SBARQ
1 BINARYRULE SBARQ WHNP+DET SBARQ
2 BINARYRULE NP ADJ ADJ
1 BINARYRULE NP NOUN ADV
3 BINARYRULE WHNP NOUN NOUN
1 BINARYRULE NP DET X
3 BINARYRULE SQ NP+NOUN PP
4 BINARYRULE VP ADVP+ADV VP+VERB
1 BINARYRULE VP . NP+S
1 BINARYRULE WHNP NP NOUN
9 BINARYRULE SQ NP PP
1 BINARYRULE NP NP PP+PRT
3 BINARYRULE VP NP S+VP
1 BINARYRULE ADJP ADVP VERB
263 BINARYRULE WHNP DET NOUN
1 BINARYRULE SQ NP+NOUN ADJP+ADJ
13 BINARYRULE SQ NP+DET PP
2 BINARYRULE VP ADJP PP
2 BINARYRULE SBAR+S NP+PRON VP
1 BINARYRULE NP+SBAR+S ADVP+ADV S
1 BINARYRULE SQ+VP VP VP
4 BINARYRULE SQ NP+PRON SQ
619 BINARYRULE SQ VERB SQ
1 BINARYRULE SQ VERB VP+VERB
18 BINARYRULE SQ VERB PP
286 BINARYRULE PP ADP NP+NOUN
1 BINARYRULE ADJP . ADJ
2 BINARYRULE VP VERB ADJP
2 BINARYRULE SBARQ CONJ SBARQ
1 BINARYRULE SBAR SQ+VP .
1 BINARYRULE PP . PP
1 BINARYRULE NP NP WHPP
1 BINARYRULE NP NUM NUM
1 BINARYRULE VP . S
1 BINARYRULE VP ADV NP
579 BINARYRULE NP DET NOUN
1 BINARYRULE NP NP+NOUN .
5 BINARYRULE SBAR+S NP VP
7 BINARYRULE S+VP PRT VP+VERB
62 BINARYRULE SQ NP+NOUN VP
1 BINARYRULE SQ NP NP+NOUN
8 BINARYRULE SQ VERB ADJP
1 BINARYRULE VP NP ADVP
1 BINARYRULE ADJP ADJP ADJP
1 BINARYRULE SQ VERB ADJP+ADJ
8 BINARYRULE SQ NP NP
1 BINARYRULE NP ADJ NP+NOUN
9 BINARYRULE SBAR+S+VP PRT VP
1 BINARYRULE WHPP PRT WHNP+PRON
1 BINARYRULE PP ADV PP
1 BINARYRULE VP VERB NP+S+VP
3 BINARYRULE PP ADP NP+ADJ
20 BINARYRULE WHNP WHNP PP
1 BINARYRULE SQ+VP ADVP VP
1 BINARYRULE SBARQ WHNP SQ+VP
1 BINARYRULE VP NP ADVP+ADJ
3 BINARYRULE ADJP ADV ADJP
20 BINARYRULE WHNP WHADJP NP
42 BINARYRULE NP PRON NOUN
1 BINARYRULE SBARQ NP .
6 BINARYRULE NP ADV NP
1 BINARYRULE VP CONJ VP+VERB
11 BINARYRULE SQ NP PP+ADP
1 BINARYRULE SQ+VP VERB SBAR
12 BINARYRULE VP VERB SBAR
1 BINARYRULE PP ADP NP+PRON
2 BINARYRULE NP NP+NOUN SBAR
1 BINARYRULE SBAR WHNP+DET VP
10 BINARYRULE PP PRT NP+NOUN
148 BINARYRULE VP VERB NP
1 BINARYRULE VP PP+PRT PP
2 BINARYRULE SQ VERB ADVP
1 BINARYRULE NP ADJP ADVP
1 BINARYRULE NP NP NP+PP
3 BINARYRULE WHADVP ADV ADJ
1 BINARYRULE NP+PP PP PP
1 BINARYRULE ADJP X .
1 BINARYRULE NP ADJP+ADJ NP
2 BINARYRULE VP NP+PRON NP
1 BINARYRULE NP+S+VP VERB VP
12 BINARYRULE S NP+PRON VP
1 BINARYRULE ADJP ADJ PP+PRT
1 BINARYRULE PP PRT VP
1 BINARYRULE VP VERB NP+QP
2 BINARYRULE NP X X
1 BINARYRULE VP NP PP+NOUN
1 BINARYRULE NP NP NX
1 BINARYRULE ADJP ADV VERB
4 BINARYRULE NP QP NOUN
323 BINARYRULE NP NOUN NP
1 BINARYRULE NP+NP NP PP
5 BINARYRULE WHADJP ADV ADV
30 BINARYRULE NP NP SBAR
1 BINARYRULE SBAR+S NP S
40 BINARYRULE PP ADP NP+NUM
20 BINARYRULE SBARQ WHPP SBARQ
283 BINARYRULE SBARQ WHADVP+ADV SBARQ
17 BINARYRULE NP . NOUN
138 BINARYRULE NP NP NP
1 BINARYRULE NP NUM .
1 BINARYRULE NP NP NP+ADVP
2 BINARYRULE VP NP NP
1 BINARYRULE VP NOUN NP
4 BINARYRULE S VP S
1 BINARYRULE VP PRT+PRT SBAR
3 BINARYRULE VP VERB ADJP+ADJ
2 BINARYRULE WHNP WHADJP WHNP
3 BINARYRULE WHNP PRON WHNP
6 BINARYRULE VP PRT VP
46 BINARYRULE VP NP PP
1 BINARYRULE SBAR+VP PRT VP
2 BINARYRULE VP . PP
1 BINARYRULE VP VP+VERB VP
8 BINARYRULE NP CONJ NP+NOUN
2 BINARYRULE QP ADP NUM
3 BINARYRULE NP X .
1 BINARYRULE WHNP WHNP NP+NOUN
1 BINARYRULE VP NP VERB
172 BINARYRULE SQ NP VP+VERB
3 BINARYRULE S+VP VERB ADJP+ADJ
1 BINARYRULE S+VP VERB NP+NP
2 BINARYRULE SBARQ WHADVP+ADV SQ
1 BINARYRULE NP . DET
1 BINARYRULE NP+QP ADJ QP
1 BINARYRULE WHNP DET S
1 BINARYRULE WHNP WHADJP PP
2 BINARYRULE VP CONJ VERB
1 BINARYRULE VP VERB ADVP
28 BINARYRULE NP NP+NOUN NP
1 BINARYRULE ADJP ADJ PP+ADP
15 BINARYRULE NP NOUN NUM
3 BINARYRULE SQ NP+NOUN SQ
1 BINARYRULE VP+S+VP PRT VP
4 BINARYRULE NP NP+NOUN VP
17 BINARYRULE ADJP ADV ADJ
1 BINARYRULE SQ ADV VP
1 BINARYRULE NP NP+NUM PP
1 BINARYRULE VP NP+PRON PP
1 BINARYRULE ADVP CONJ ADV
1 BINARYRULE PP NP PP
13 BINARYRULE S NP VP
1 BINARYRULE NP . S+VP
5 BINARYRULE ADJP . ADJP
21 BINARYRULE SBAR ADP S
1 BINARYRULE SQ NP NP+VERB
4 BINARYRULE SQ NP ADJP+ADJ
1 BINARYRULE NP ADJ .
2 BINARYRULE NP+S NP VP
2 BINARYRULE NP NP ADJP
8 BINARYRULE SQ ADVP+ADV VP
1 BINARYRULE NP NP+NOUN PP+ADP
1 BINARYRULE WHNP WHNP NP
45 BINARYRULE NP NUM NOUN
1 BINARYRULE ADVP ADVP PP
1 BINARYRULE SQ VP+VERB SQ
4 BINARYRULE SQ NP SBAR
1 BINARYRULE NP NOUN X
1 BINARYRULE QP ADJ QP
6 BINARYRULE S NP+NOUN VP
12 BINARYRULE NP ADJP NP
5 BINARYRULE ADJP ADJ ADJP
4 BINARYRULE WHNP DET WHNP
1 BINARYRULE NP NP+NUM PP+ADP
3 BINARYRULE SBARQ PP SBARQ
1 BINARYRULE SBARQ SQ+VP SBARQ
58 BINARYRULE WHNP WHADJP NOUN
2 BINARYRULE NP NOUN SBAR
5 BINARYRULE SBAR WHNP+PRON S+VP
2 BINARYRULE WHNP ADV ADJ
3 BINARYRULE SQ+VP VERB S+VP
2 BINARYRULE WHADVP WHADVP PP
2 BINARYRULE VP PRT+PRT PP+ADP
12 BINARYRULE VP NP+NOUN PP
5 BINARYRULE WHNP DET NP+NOUN
1 BINARYRULE SBARQ VP .
1 BINARYRULE NP QP PP
1 BINARYRULE NP VERB PP
216 BINARYRULE NP ADJ NP
